,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
487,"internal-pdf://0915711850/Wheeling Sunday Register, December 20, 1891.pdf",,,"December 20, 1891",Wheeling Sunday Register,,N/A,"Wheeling, West Virginia",6435, Newspaper Article,,The Ladies’ Aid Society,The Ladies’ Aid Society,N/A,,LOC Conundrum Supper
488,"internal-pdf://1738076217/Wheeling Sunday Register, September 13, 1891.pdf",,,"September 13, 1891",Wheeling Sunday Register,,Disciples’ Church,"Wheeling, West Virginia",6436, Newspaper Article,,Y.P.S.C.E,Y.P.S.C.E,"September 21, 1891",,LOC Conundrum Supper
489,"internal-pdf://4059243596/The Wichita daily eagle, January 10, 1902.pdf",,,10-Jan-02,The Wichita daily eagle,,South Lawrence Christian church,"Wichita, Kansas",6199, Newspaper Article,,Willing Workers,Willing Workers,10-Jan-02,,LOC Conundrum Supper
490,"internal-pdf://3473731291/Williston graphic, April 20, 1911.pdf",,,20-Apr-11,Williston graphic,,Rose Hill school,"Williston, North Dakota",6414, Newspaper Article,,N/A,N/A,21-Apr-11,,LOC Conundrum Supper
491,"internal-pdf://2920117873/Williston graphic, March 20, 1896.pdf",,,"March 20, 1896",Williston graphic,,Church rooms,"Williston, North Dakota",6416, Newspaper Article,,Ladies’ Aid society of the M.E. church,Ladies’ Aid society of the M.E. church,"March 24, 1896",,LOC Conundrum Supper
492,"internal-pdf://1953443371/Willmar tribune, April 20, 1897.pdf",,,"April 20, 1897",Willmar tribune,Contains eBOF,Jenness building west of the Kandiyobi Co. Bank on Pacaific Avenue,"Willmar, Minnesota",6261, Newspaper Article,,Christian Endeavor Society of the Presbyterian Church,Christian Endeavor Society of the Presbyterian Church,"April 22, 1897",,LOC Conundrum Supper
493,"internal-pdf://1748349613/Windham County Reformer, April 18, 1904.pdf",,,15-Apr-04,Windham County Reformer,,Brattleboro Lodge,"Brattleboro, Vermont",6132, Newspaper Article,,NEOP,NEOP,18-Apr-04,,LOC Conundrum Supper
494,"internal-pdf://1814887560/The Windham County Reformer, December 06, 1895.pdf",,,"December 06, 1895",The Windham County Reformer,Partial menu included.,Baptist vestry,"Brattleboro, Vermont",6371, Newspaper Article,,N/A,N/A,"December 05, 1895",,LOC Conundrum Supper
495,"internal-pdf://2315541170/Windham County Reformer, February 21, 1902.pdf",,,21-Feb-02,Windham County Reformer,,Town hall,"Brattleboro, Vermont",6378, Newspaper Article,,L.L. Society,L.L. Society,13-Feb-02,,LOC Conundrum Supper
496,"internal-pdf://3668465678/Windham County Reformer, March 21, 1902.pdf",,,21-Mar-02,Windham County Reformer,,N/A,"Brattleboro, Vermont",6377, Newspaper Article,,The Scorpion Club & Raymond Mason,The Scorpion Club & Raymond Mason,15-Mar-02,,LOC Conundrum Supper
497,"internal-pdf://3290679159/The Wisconsin Tobacco Reporter, May 07, 1909.pdf",,,7-May-09,The Wisconsin Tobacco Reporter,,Church basement,"Edgerton, Wisconsin",6442, Newspaper Article,,The Young Ladies Society of Rev Halvorson’s East Koshkonong Church,The Young Ladies Society of Rev Halvorson’s East Koshkonong Church,7-May-09,,LOC Conundrum Supper
498,"internal-pdf://2757970154/Wood County Reporter, August 11, 1892.pdf",,,"August 11, 1892",Wood County Reporter,,Epworth Hall,"Grand Rapids, Wisconsin",6437, Newspaper Article,,Young People of the Epworth League,Young People of the Epworth League,"August 17, 1892",,LOC Conundrum Supper
499,"internal-pdf://2560843747/The Yakima Herald, January 21, 1903.pdf",,,21-Jan-03,The Yakima Herald,,Woodmen hall,"North Yakima, Washington",6424, Newspaper Article,,N/A,N/A,6-Feb-03,,LOC Conundrum Supper
500,"internal-pdf://2543860665/The Yakima Herald, March 26, 1896.pdf",,,"March 26, 1896",The Yakima Herald,,G.A.R. Hall,"North Yakima, Washington",6425, Newspaper Article,,The Womens Relief Corps,The Womens Relief Corps,"March 28, 1896",,LOC Conundrum Supper
501,"internal-pdf://2418238200/Tha Yakima Herald, December 04, 1907.pdf",,,4-Dec-07,The Yakima Herald,The same event is mentioned on November 13. Unclear when exactly the event took place.,N/A,North Yakima,6423, Newspaper Article,,Hiu Wah Wah Literary Society,Hiu Wah Wah Literary Society,N/A,,LOC Conundrum Supper
502,"internal-pdf://2855384616/The Yale expositor, March 27, 1896.pdf",,,"March 27, 1896",The Yale expositor,Same event is referenced in the issue from April 03,McKenna block,"Yale, Michigan",6255, Newspaper Article,,Y.P.S.C.E. of the Disciples; assisted by the Ladies’ Aid,Y.P.S.C.E. of the Disciples; assisted by the Ladies’ Aid,"March 27, 1896",,LOC Conundrum Supper
503,,,,,,,,,,,,,,,,
